system,timestamp,field,value
optical,2025-12-12T04:04:49.680766,brightness,0.8293484935742372
optical,2025-12-12T04:04:49.680766,motion_index,0.031149684641309905
optical,2025-12-12T04:04:48.680801,brightness,0.8772473950443392
optical,2025-12-12T04:04:48.680801,motion_index,1.3746647913465926
optical,2025-12-12T04:04:47.680808,brightness,0.5064853402260717
optical,2025-12-12T04:04:47.680808,motion_index,1.1373939558247803
optical,2025-12-12T04:04:46.680814,brightness,0.3963111484582922
optical,2025-12-12T04:04:46.680814,motion_index,0.9062306565577316
optical,2025-12-12T04:04:45.680818,brightness,0.32257790483064525
optical,2025-12-12T04:04:45.680818,motion_index,0.06988108688731182
optical,2025-12-12T04:04:44.680823,brightness,0.10568644801592245
optical,2025-12-12T04:04:44.680823,motion_index,0.44150348419907476
optical,2025-12-12T04:04:43.680828,brightness,0.3790683076100402
optical,2025-12-12T04:04:43.680828,motion_index,1.1604251847164515
optical,2025-12-12T04:04:42.680832,brightness,0.3827600801294697
optical,2025-12-12T04:04:42.680832,motion_index,1.2881920173329726
optical,2025-12-12T04:04:41.680836,brightness,0.5443468585399821
optical,2025-12-12T04:04:41.680836,motion_index,0.5527955419474238
optical,2025-12-12T04:04:40.680841,brightness,0.5199007299616947
optical,2025-12-12T04:04:40.680841,motion_index,0.6459922762597019
optical,2025-12-12T04:04:39.680845,brightness,0.40234976298755964
optical,2025-12-12T04:04:39.680845,motion_index,0.4812239304387269
optical,2025-12-12T04:04:38.680850,brightness,0.44919413093559846
optical,2025-12-12T04:04:38.680850,motion_index,0.6449309496223077
optical,2025-12-12T04:04:37.680854,brightness,0.4232171707716986
optical,2025-12-12T04:04:37.680854,motion_index,0.010426485155202003
optical,2025-12-12T04:04:36.680859,brightness,0.6988594243989817
optical,2025-12-12T04:04:36.680859,motion_index,0.042376647951062774
optical,2025-12-12T04:04:35.680863,brightness,0.3773538658391249
optical,2025-12-12T04:04:35.680863,motion_index,0.06754152651135881
optical,2025-12-12T04:04:34.680868,brightness,0.5722397340496521
optical,2025-12-12T04:04:34.680868,motion_index,1.3489832435404203
optical,2025-12-12T04:04:33.680872,brightness,0.3186020017724441
optical,2025-12-12T04:04:33.680872,motion_index,0.9612140435624194
optical,2025-12-12T04:04:32.680877,brightness,0.2898811452779822
optical,2025-12-12T04:04:32.680877,motion_index,0.27614008624128694
optical,2025-12-12T04:04:31.680881,brightness,0.28704298700706365
optical,2025-12-12T04:04:31.680881,motion_index,1.2270568147576266
optical,2025-12-12T04:04:30.680886,brightness,0.11153285250817487
optical,2025-12-12T04:04:30.680886,motion_index,1.4575142569163488
seismic,2025-12-12T04:04:49.680892,microtremor_level,0.03202756497566046
seismic,2025-12-12T04:04:49.680892,vibration_score,0.002325639181314032
seismic,2025-12-12T04:04:48.680898,microtremor_level,0.049115147199919246
seismic,2025-12-12T04:04:48.680898,vibration_score,0.14570832177872814
seismic,2025-12-12T04:04:47.680903,microtremor_level,0.01515909824778186
seismic,2025-12-12T04:04:47.680903,vibration_score,0.15297516062998207
seismic,2025-12-12T04:04:46.680907,microtremor_level,0.03547483976657383
seismic,2025-12-12T04:04:46.680907,vibration_score,0.07107500239394504
seismic,2025-12-12T04:04:45.680912,microtremor_level,0.019231801589511106
seismic,2025-12-12T04:04:45.680912,vibration_score,0.11106697252886306
seismic,2025-12-12T04:04:44.680916,microtremor_level,0.026553323935233297
seismic,2025-12-12T04:04:44.680916,vibration_score,0.17488648477735588
seismic,2025-12-12T04:04:43.680921,microtremor_level,0.0439576086071411
seismic,2025-12-12T04:04:43.680921,vibration_score,0.10869071883844844
seismic,2025-12-12T04:04:42.680925,microtremor_level,0.004699580201299115
seismic,2025-12-12T04:04:42.680925,vibration_score,0.14105127946873391
seismic,2025-12-12T04:04:41.680930,microtremor_level,0.013061485977013393
seismic,2025-12-12T04:04:41.680930,vibration_score,0.14082912558180288
seismic,2025-12-12T04:04:40.680935,microtremor_level,0.021293957553019424
seismic,2025-12-12T04:04:40.680935,vibration_score,0.1393149030769656
seismic,2025-12-12T04:04:39.680939,microtremor_level,0.0009605958786550184
seismic,2025-12-12T04:04:39.680939,vibration_score,0.005435720753395823
seismic,2025-12-12T04:04:38.680944,microtremor_level,0.021775986165881358
seismic,2025-12-12T04:04:38.680944,vibration_score,0.0003539521001756585
seismic,2025-12-12T04:04:37.680948,microtremor_level,0.022086371766339735
seismic,2025-12-12T04:04:37.680948,vibration_score,0.1269029538017626
seismic,2025-12-12T04:04:36.680952,microtremor_level,0.03345874743944693
seismic,2025-12-12T04:04:36.680952,vibration_score,0.11156941103291632
seismic,2025-12-12T04:04:35.680957,microtremor_level,0.027094424808938283
seismic,2025-12-12T04:04:35.680957,vibration_score,0.04748156434929614
seismic,2025-12-12T04:04:34.680961,microtremor_level,0.007533592423875452
seismic,2025-12-12T04:04:34.680961,vibration_score,0.1438003002554518
seismic,2025-12-12T04:04:33.680966,microtremor_level,0.0055320801276121994
seismic,2025-12-12T04:04:33.680966,vibration_score,0.10643047703839972
seismic,2025-12-12T04:04:32.680970,microtremor_level,0.017871495633956066
seismic,2025-12-12T04:04:32.680970,vibration_score,0.19690022537261553
seismic,2025-12-12T04:04:31.680975,microtremor_level,0.04888244794686582
seismic,2025-12-12T04:04:31.680975,vibration_score,0.04806057330391818
seismic,2025-12-12T04:04:30.680979,microtremor_level,0.0391053214543254
seismic,2025-12-12T04:04:30.680979,vibration_score,0.11365158199745629
ems,2025-12-12T04:04:49.680985,signal_variance,0.42404116516248413
ems,2025-12-12T04:04:49.680985,bandwidth_load,0.6224922295096748
ems,2025-12-12T04:04:48.680990,signal_variance,0.41216750530145774
ems,2025-12-12T04:04:48.680990,bandwidth_load,0.29242539599932044
ems,2025-12-12T04:04:47.680995,signal_variance,0.2949801857555393
ems,2025-12-12T04:04:47.680995,bandwidth_load,0.3454107621574694
ems,2025-12-12T04:04:46.680999,signal_variance,0.6292401661596054
ems,2025-12-12T04:04:46.680999,bandwidth_load,0.45952993136819487
ems,2025-12-12T04:04:45.681004,signal_variance,0.23337290835949331
ems,2025-12-12T04:04:45.681004,bandwidth_load,0.5385568290536303
ems,2025-12-12T04:04:44.681008,signal_variance,0.8729653663455682
ems,2025-12-12T04:04:44.681008,bandwidth_load,0.27550135677144616
