timestamp,source,reason,count,severity,sensor_type,aoi
2025-11-29T07:59:32.700850,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-29T08:00:32.700850,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-29T08:01:32.700850,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-29T08:02:32.700850,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-29T08:03:32.700850,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-29T08:04:32.700850,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-29T08:05:32.700850,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-29T08:06:32.700850,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-29T08:07:32.700850,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-29T08:08:32.700850,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-29T08:49:32.700850,gateway_alpha,invalid_values,5,medium,radiation,NK_INLAND
2025-11-29T08:50:32.700850,gateway_alpha,invalid_values,5,medium,radiation,NK_INLAND
2025-11-29T08:51:32.700850,gateway_alpha,invalid_values,5,medium,radiation,NK_INLAND
2025-11-29T08:52:32.700850,gateway_alpha,invalid_values,5,medium,radiation,NK_INLAND
2025-11-29T08:53:32.700850,gateway_alpha,invalid_values,5,medium,radiation,NK_INLAND
2025-11-29T08:56:32.700850,unknown_edge_node,suspicious_volume,50,high,network,GLOBAL
2025-11-29T08:57:32.700850,unknown_edge_node,suspicious_volume,50,high,network,GLOBAL
2025-11-29T08:58:32.700850,unknown_edge_node,suspicious_volume,50,high,network,GLOBAL
