DateTime,Station,Mag,Depth_km,Lat,Lon,Type,Flagged,Reasons
2025-10-06T20:10:00Z,PS901,4.8,1.2,39.7,128.9,event,True,nk_zone+shallow+mag_range
2025-10-06T20:15:00Z,PS902,4.5,3.6,40.2,129.2,event,False,
2025-10-06T20:20:00Z,PS903,3.2,1.0,39.9,128.5,event,False,
2025-10-06T20:25:00Z,PS904,5.1,1.1,37.5,127.9,event,False,
2025-10-06T20:30:00Z,PS905,6.2,0.9,39.3,129.5,event,True,nk_zone+shallow+mag_range
2025-09-18T05:34:12Z,PS123,4.2,1.5,39.5,128.9,event,True,nk_zone+shallow+mag_range
2025-09-18T08:02:10Z,PS201,3.1,12.0,34.1,117.2,event,False,
2025-09-19T14:22:44Z,PS777,5.0,0.8,40.1,129.4,event,True,nk_zone+shallow+mag_range
2025-10-06T20:10:00Z,PS901,4.8,1.2,39.7,128.9,event,True,nk_zone+shallow+mag_range
2025-10-06T20:15:00Z,PS902,4.5,3.6,40.2,129.2,event,False,
2025-10-06T20:20:00Z,PS903,3.2,1.0,39.9,128.5,event,False,
2025-10-06T20:25:00Z,PS904,5.1,1.1,37.5,127.9,event,False,
2025-10-06T20:30:00Z,PS905,6.2,0.9,39.3,129.5,event,True,nk_zone+shallow+mag_range
2025-10-06T18:01:00Z,PS901,4.6,1.2,39.8,128.9,event,True,nk_zone+shallow+mag_range
2025-10-06T18:03:00Z,PS902,4.1,3.8,40.1,129.2,event,False,
2025-10-06T18:05:00Z,PS903,4.0,1.0,37.4,127.8,event,False,
2025-10-07T14:10:00Z,PS921,4.7,3.8,40.2,129.4,event,False,
2025-10-07T14:15:00Z,PS922,5.2,5.1,39.9,129.8,event,False,
2025-10-07T14:20:00Z,PS923,4.3,1.0,37.5,127.9,event,False,
2025-10-07T14:25:00Z,PS924,4.6,1.2,41.5,130.5,event,False,
2025-10-07T14:30:00Z,PS925,4.5,1.1,39.7,129.0,event,True,nk_zone+shallow+mag_range
2025-10-07T14:10:00Z,PS921,4.7,3.8,40.2,129.4,event,False,
2025-10-08T14:10:00Z,PS930,2.9,1.0,39.8,128.7,event,False,
2025-10-08T14:20:00Z,PS931,4.2,1.1,40.5,129.4,event,True,nk_zone+shallow+mag_range
2025-10-08T14:30:00Z,PS932,5.0,0.9,39.6,129.1,event,True,nk_zone+shallow+mag_range
2025-10-09T10:00:00Z,BAD01,0.0,0.0,0.0,0.0,error,False,
2025-10-10T09:00:00Z,PS940,4.2,1.1,39.9,128.8,event,True,nk_zone+shallow+mag_range
2025-10-10T09:05:00Z,PS941,0.0,0.0,0.0,0.0,error,False,
2025-10-10T09:10:00Z,PS942,5.5,0.9,40.0,129.0,event,True,nk_zone+shallow+mag_range
2025-10-10T09:15:00Z,PS943,3.1,1.2,39.7,128.9,event,False,
