timestamp,source,reason,count,severity,sensor_type,aoi
2025-11-27T11:48:00.104083,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-27T11:49:00.104083,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-27T11:50:00.104083,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-27T11:51:00.104083,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-27T11:52:00.104083,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-27T11:53:00.104083,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-27T11:54:00.104083,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-27T11:55:00.104083,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-27T11:56:00.104083,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-27T11:57:00.104083,sensor_cluster_north,missing_fields,1,low,seismic,NK_COAST
2025-11-27T12:38:00.104083,gateway_alpha,invalid_values,5,medium,radiation,NK_INLAND
2025-11-27T12:39:00.104083,gateway_alpha,invalid_values,5,medium,radiation,NK_INLAND
2025-11-27T12:40:00.104083,gateway_alpha,invalid_values,5,medium,radiation,NK_INLAND
2025-11-27T12:41:00.104083,gateway_alpha,invalid_values,5,medium,radiation,NK_INLAND
2025-11-27T12:42:00.104083,gateway_alpha,invalid_values,5,medium,radiation,NK_INLAND
2025-11-27T12:45:00.104083,unknown_edge_node,suspicious_volume,50,high,network,GLOBAL
2025-11-27T12:46:00.104083,unknown_edge_node,suspicious_volume,50,high,network,GLOBAL
2025-11-27T12:47:00.104083,unknown_edge_node,suspicious_volume,50,high,network,GLOBAL
2025-11-27T14:07:04.592153,fusion_sanitizer,negative_Seismic_Mag,-1.0,-3.0,UNKNOWN,False
2025-11-27T14:07:04.593799,fusion_sanitizer,negative_Radiation_uSv,0.0,-3.0,UNKNOWN,False
